"","CountryName","CountryCode","Year","EG.ELC.ACCS.ZS","EG.FEC.RNEW.ZS","EG.USE.COMM.FO.ZS","EG.USE.ELEC.KH.PC"
"327","Lao PDR","LAO",2010,66,87.47752,NA,NA
"328","Lao PDR","LAO",2011,NA,86.52792,NA,NA
"329","Lao PDR","LAO",2012,70,NA,NA,NA
"330","Latvia","LVA",2010,100,35.26775,63.91688,3229.951
"331","Latvia","LVA",2011,NA,35.53509,62.8939,3264.539
"332","Latvia","LVA",2012,100,40.36647,58.04189,3588.424
"333","Lebanon","LBN",2010,99.9,5.273733,94.976,3478.777
"334","Lebanon","LBN",2011,NA,5.231662,95.52014,3494.707
"335","Lebanon","LBN",2012,100,4.972385,96.37144,3102.419
"336","Lesotho","LSO",2010,17,4.12978,NA,NA
"337","Lesotho","LSO",2011,NA,4.236683,NA,NA
"338","Lesotho","LSO",2012,20.56256,NA,NA,NA
"339","Liberia","LBR",2010,4.1,90.63534,NA,NA
"340","Liberia","LBR",2011,NA,89.39248,NA,NA
"341","Liberia","LBR",2012,9.8,NA,NA,NA
"342","Libya","LBY",2010,100,1.60259,99.23665,4531.978
"343","Libya","LBY",2011,NA,2.256557,98.82277,3807.016
"344","Libya","LBY",2012,100,1.691688,99.00202,4706.844
"345","Liechtenstein","LIE",2010,100,NA,NA,NA
"346","Liechtenstein","LIE",2012,100,NA,NA,NA
"347","Lithuania","LTU",2010,100,21.69427,74.29024,3470.785
"348","Lithuania","LTU",2011,NA,23.09456,73.87595,3529.919
"349","Lithuania","LTU",2012,100,24.27537,72.89957,3607.704
"350","Luxembourg","LUX",2010,100,3.662086,87.94705,16829.96
"351","Luxembourg","LUX",2011,NA,3.719492,86.99973,15586.08
"352","Luxembourg","LUX",2012,100,4.142592,87.21263,14696.41
"353","Luxembourg","LUX",2013,NA,NA,84.77925,NA
"354","Macao SAR, China","MAC",2010,87.54047,0.4467869,NA,NA
"355","Macao SAR, China","MAC",2011,NA,0.1825749,NA,NA
"356","Macao SAR, China","MAC",2012,90.54264,NA,NA,NA
"357","Macedonia, FYR","MKD",2010,99,22.5936,81.14242,3588.463
"358","Macedonia, FYR","MKD",2011,NA,17.82264,82.02482,3895.177
"359","Macedonia, FYR","MKD",2012,100,16.46848,82.43753,3689.707
"360","Madagascar","MDG",2010,14.3,81.85477,NA,NA
"361","Madagascar","MDG",2011,NA,78.85373,NA,NA
"362","Madagascar","MDG",2012,15.4,NA,NA,NA
"363","Malawi","MWI",2010,8.7,78.64652,NA,NA
"364","Malawi","MWI",2011,NA,79.24446,NA,NA
"365","Malawi","MWI",2012,9.8,NA,NA,NA
"366","Malaysia","MYS",2010,99.3,6.043842,94.91399,4158.573
"367","Malaysia","MYS",2011,NA,6.544373,94.84559,4113.818
"368","Malaysia","MYS",2012,100,6.795786,94.7758,4345.471
"369","Maldives","MDV",2010,99.9,3.416971,NA,NA
"370","Maldives","MDV",2011,NA,3.239346,NA,NA
"371","Maldives","MDV",2012,100,NA,NA,NA
"372","Mali","MLI",2010,16.6,83.92455,NA,NA
"373","Mali","MLI",2011,NA,83.87281,NA,NA
"374","Mali","MLI",2012,25.6,NA,NA,NA
"375","Malta","MLT",2010,100,0.7237325,99.65462,4171.21
"376","Malta","MLT",2011,NA,0.9955321,99.54057,4689.287
"377","Malta","MLT",2012,100,2.60527,98.55895,4760.94
"378","Marshall Islands","MHL",2010,55.8,NA,NA,NA
"379","Marshall Islands","MHL",2012,59.32891,NA,NA,NA
"380","Mauritania","MRT",2010,18.2,33.99881,NA,NA
"381","Mauritania","MRT",2011,NA,33.28259,NA,NA
"382","Mauritania","MRT",2012,21.76256,NA,NA,NA
"383","Mauritius","MUS",2010,100,3.823921,81.6563,1995.361
"384","Mauritius","MUS",2011,NA,3.364859,82.43971,2025.704
"385","Mauritius","MUS",2012,100,NA,83.15324,2075.036
"386","Mexico","MEX",2010,99,9.950746,89.26572,1903.985
"387","Mexico","MEX",2011,NA,9.63167,89.19103,2074.244
"388","Mexico","MEX",2012,99.1,9.350894,90.1505,2011.715
"389","Mexico","MEX",2013,NA,NA,89.353,NA
"390","Micronesia, Fed. Sts.","FSM",2010,55.8,NA,NA,NA
"391","Micronesia, Fed. Sts.","FSM",2012,59.32891,NA,NA,NA
"392","Moldova","MDA",2010,98.6,4.161364,93.15207,1722.887
"393","Moldova","MDA",2011,NA,4.384514,94.87987,1470.231
"394","Moldova","MDA",2012,100,4.666816,94.44865,1514.53
"395","Monaco","MCO",2010,100,NA,NA,NA
"396","Monaco","MCO",2012,100,NA,NA,NA
"397","Mongolia","MNG",2010,86.2,3.826545,95.14211,1492.633
"398","Mongolia","MNG",2011,NA,3.543979,95.36001,1495.429
"399","Mongolia","MNG",2012,89.76256,3.216696,95.50759,1597.386
"400","Montenegro","MNE",2010,100,54.52485,60.57509,5419.516
"401","Montenegro","MNE",2011,NA,43.18868,63.04412,5752.493
"402","Montenegro","MNE",2012,100,46.19548,61.18212,5415.718
"403","Morocco","MAR",2010,98.9,13.37637,87.92983,777.0712
"404","Morocco","MAR",2011,NA,11.79897,89.04408,818.5181
"405","Morocco","MAR",2012,100,11.33754,89.33379,875.1769
"406","Mozambique","MOZ",2010,15,89.91209,8.010442,438.5839
"407","Mozambique","MOZ",2011,NA,88.92934,9.108038,439.3027
"408","Mozambique","MOZ",2012,20.2,88.43719,8.362592,444.4111
"409","Myanmar","MMR",2010,48.8,84.95043,21.57526,121.5858
"410","Myanmar","MMR",2011,NA,84.51915,20.98269,151.0204
"411","Myanmar","MMR",2012,52.36256,78.72385,25.3797,152.6535
"412","Namibia","NAM",2010,43.7,32.779,65.9688,1532.155
"413","Namibia","NAM",2011,NA,33.4225,65.38231,1550.781
"414","Namibia","NAM",2012,47.26256,32.94026,65.6889,1590.56
"415","Nepal","NPL",2010,76.3,87.29245,12.59673,103.0663
"416","Nepal","NPL",2011,NA,86.94552,12.98666,115.235
"417","Nepal","NPL",2012,76.3,84.72027,15.17082,119.0887
"418","Netherlands","NLD",2010,100,3.560907,93.8351,7009.524
"419","Netherlands","NLD",2011,NA,4.363888,92.32067,7035.672
"420","Netherlands","NLD",2012,100,4.654838,91.50427,6871.099
"421","Netherlands","NLD",2013,NA,NA,91.76946,NA
"422","New Caledonia","NCL",2010,55.8,3.038817,NA,NA
"423","New Caledonia","NCL",2011,NA,4.005688,NA,NA
"424","New Caledonia","NCL",2012,59.32891,NA,NA,NA
"425","New Zealand","NZL",2010,100,31.34197,60.94156,9601.903
"426","New Zealand","NZL",2011,NA,32.19922,59.53662,9456.204
"427","New Zealand","NZL",2012,100,30.78007,61.75189,9373.426
"428","New Zealand","NZL",2013,NA,NA,61.84074,NA
"429","Nicaragua","NIC",2010,73,51.88909,46.91236,514.1413
"430","Nicaragua","NIC",2011,NA,51.49445,48.61373,537.0376
"431","Nicaragua","NIC",2012,77.9,53.1204,43.67872,579.544
"432","Niger","NER",2010,9.3,80.13899,NA,NA
"433","Niger","NER",2011,NA,81.27495,NA,NA
"434","Niger","NER",2012,14.4,NA,NA,NA
"435","Nigeria","NGA",2010,48,86.79206,18.01492,135.6377
"436","Nigeria","NGA",2011,NA,86.16955,18.98566,149.3125
"437","Nigeria","NGA",2012,55.6,86.4723,18.77409,155.8544
"438","Norway","NOR",2010,100,56.33486,61.22082,24890.92
"439","Norway","NOR",2011,NA,56.61919,57.29212,23510.38
"440","Norway","NOR",2012,100,58.01795,57.05055,23657.72
"441","Norway","NOR",2013,NA,NA,62.02618,NA
"442","Oman","OMN",2010,94.1,NA,100,5704.295
"443","Oman","OMN",2011,NA,NA,100,5928.966
"444","Oman","OMN",2012,97.69783,NA,NA,6094.733
"445","Pacific island small states","PSS",2010,48.94351,22.41796,NA,NA
"446","Pacific island small states","PSS",2011,NA,22.64368,NA,NA
"447","Pacific island small states","PSS",2012,51.94413,NA,NA,NA
"448","Pakistan","PAK",2010,91.4,45.81274,61.4366,466.5736
"449","Pakistan","PAK",2011,NA,45.12953,60.84379,456.6716
"450","Pakistan","PAK",2012,93.6,45.48766,60.71858,451.6995
"451","Palau","PLW",2010,55.8,2.765314,NA,NA
"452","Palau","PLW",2011,NA,2.679024,NA,NA
"453","Palau","PLW",2012,59.32891,NA,NA,NA
"454","Panama","PAN",2010,87.87328,24.09386,77.20362,1759.699
"455","Panama","PAN",2011,NA,22.20927,79.70988,1857.968
"456","Panama","PAN",2012,90.87544,22.86484,78.30763,1973.684
"457","Papua New Guinea","PNG",2010,14.5,54.06142,NA,NA
"458","Papua New Guinea","PNG",2011,NA,53.40692,NA,NA
"459","Papua New Guinea","PNG",2012,18.10671,NA,NA,NA
"460","Paraguay","PRY",2010,97,64.24937,32.56128,1178.606
"461","Paraguay","PRY",2011,NA,63.11144,33.63684,1282.698
"462","Paraguay","PRY",2012,98.2,62.67751,33.81783,1367.891
"463","Peru","PER",2010,85,30.7313,74.70425,1094.314
"464","Peru","PER",2011,NA,29.54726,75.91993,1241.671
"465","Peru","PER",2012,91.2,28.24988,77.71049,1211.323
"466","Philippines","PHL",2010,83.3,28.81186,60.21025,644.2681
"467","Philippines","PHL",2011,NA,29.41056,59.66229,650.7428
"468","Philippines","PHL",2012,87.5,29.40278,60.73414,672.3891
"469","Poland","POL",2010,100,9.495261,92.28385,3797.092
"470","Poland","POL",2011,NA,10.57978,91.97631,3879.542
"471","Poland","POL",2012,100,11.08414,90.81932,3899.177
"472","Poland","POL",2013,NA,NA,91.30371,NA
"473","Portugal","PRT",2010,100,27.82199,75.12697,4959.094
"474","Portugal","PRT",2011,NA,27.1625,75.70243,4848.279
"475","Portugal","PRT",2012,100,25.56425,75.17351,4736.352
"476","Portugal","PRT",2013,NA,NA,74.11837,NA
"477","Puerto Rico","PRI",2010,87.87328,0.6882609,NA,NA
"478","Puerto Rico","PRI",2011,NA,1.000117,NA,NA
"479","Puerto Rico","PRI",2012,90.87544,NA,NA,NA
"480","Qatar","QAT",2010,94.1,NA,NA,14940.13
"481","Qatar","QAT",2011,NA,NA,100,15800.05
"482","Qatar","QAT",2012,97.69783,NA,NA,16183.08
"483","Romania","ROM",2010,100,24.09571,75.07245,2550.863
"484","Romania","ROM",2011,NA,21.11273,77.64185,2639.033
"485","Romania","ROM",2012,100,21.67883,76.44447,2604.243
"486","Russian Federation","RUS",2010,100,3.342707,90.73365,6409.895
"487","Russian Federation","RUS",2011,NA,3.227757,91.1131,6485.761
"488","Russian Federation","RUS",2012,100,3.245003,91.06704,6617.136
"489","Rwanda","RWA",2010,10.8,90.65596,NA,NA
"490","Rwanda","RWA",2011,NA,86.75162,NA,NA
"491","Rwanda","RWA",2012,18,NA,NA,NA
"492","Samoa","WSM",2010,99.6,26.45782,NA,NA
"493","Samoa","WSM",2011,NA,23.15207,NA,NA
"494","Samoa","WSM",2012,100,NA,NA,NA
"495","San Marino","SMR",2010,100,NA,NA,NA
"496","San Marino","SMR",2012,100,NA,NA,NA
"497","Sao Tome and Principe","STP",2010,56.9,43.75955,NA,NA
"498","Sao Tome and Principe","STP",2011,NA,43.21514,NA,NA
"499","Sao Tome and Principe","STP",2012,60.46256,NA,NA,NA
"500","Saudi Arabia","SAU",2010,94.1,0.008263937,99.99677,7784.762
"501","Saudi Arabia","SAU",2011,NA,0.009115813,99.99623,7870.139
"502","Saudi Arabia","SAU",2012,97.69783,0.008575383,99.9966,8404.516
"503","Senegal","SEN",2010,56.5,51.17017,44.9127,198.5059
"504","Senegal","SEN",2011,NA,49.5687,46.33197,198.847
"505","Senegal","SEN",2012,56.5,51.36473,44.60669,209.5775
"506","Serbia","SRB",2010,100,20.70967,86.88537,4358.812
"507","Serbia","SRB",2011,NA,17.67215,89.08806,4489.571
"508","Serbia","SRB",2012,100,19.60943,87.13819,4386.535
"509","Seychelles","SYC",2010,100,0.4043736,NA,NA
"510","Seychelles","SYC",2011,NA,0.5079423,NA,NA
"511","Seychelles","SYC",2012,100,NA,NA,NA
"512","Sierra Leone","SLE",2010,12.1,84.17509,NA,NA
"513","Sierra Leone","SLE",2011,NA,80.34598,NA,NA
"514","Sierra Leone","SLE",2012,14.2,NA,NA,NA
"515","Singapore","SGP",2010,100,0.4763218,97.68717,8686.351
"516","Singapore","SGP",2011,NA,0.4902603,97.66643,8657.137
"517","Singapore","SGP",2012,100,0.5176081,97.59185,8689.669
"518","Slovak Republic","SVK",2010,100,10.27965,70.23777,5201.405
"519","Slovak Republic","SVK",2011,NA,10.35755,68.51136,5347.526
"520","Slovak Republic","SVK",2012,100,10.48084,66.81359,5137.789
"521","Slovak Republic","SVK",2013,NA,NA,66.86808,NA
"522","Slovenia","SVN",2010,100,18.05106,67.54325,6521.093
"523","Slovenia","SVN",2011,NA,17.71991,65.30449,6806.171
"524","Slovenia","SVN",2012,100,19.32173,65.2156,6777.794
"525","Slovenia","SVN",2013,NA,NA,62.69892,NA
"526","Solomon Islands","SLB",2010,19.2,67.41278,NA,NA
"527","Solomon Islands","SLB",2011,NA,67.185,NA,NA
"528","Solomon Islands","SLB",2012,22.80671,NA,NA,NA
"529","Somalia","SOM",2010,29.1,93.57101,NA,NA
"530","Somalia","SOM",2011,NA,94.19527,NA,NA
"531","Somalia","SOM",2012,32.70795,NA,NA,NA
"532","South Africa","ZAF",2010,82.7,16.8822,87.51444,4580.621
"533","South Africa","ZAF",2011,NA,17.10915,87.0859,4606.207
"534","South Africa","ZAF",2012,85.4,16.93381,86.96635,4404.5
"535","South Sudan","SSD",2010,1.5,NA,NA,NA
"536","South Sudan","SSD",2012,5.062558,NA,NA,NA
"537","Spain","ESP",2010,100,14.40339,76.07919,5706.563
"538","Spain","ESP",2011,NA,14.74977,76.58021,5599.377
"539","Spain","ESP",2012,100,15.74528,75.02599,5573.401
"540","Spain","ESP",2013,NA,NA,73.25192,NA
"541","Sri Lanka","LKA",2010,85.1,62.04059,42.85799,450.9756
"542","Sri Lanka","LKA",2011,NA,59.46253,48.20555,490.8237
"543","Sri Lanka","LKA",2012,88.66256,60.85868,47.37521,526.8103
"544","St. Kitts and Nevis","KNA",2010,87.87328,NA,NA,NA
"545","St. Kitts and Nevis","KNA",2012,90.87544,NA,NA,NA
"546","St. Lucia","LCA",2010,87.87328,2.354886,NA,NA
"547","St. Lucia","LCA",2011,NA,2.306924,NA,NA
"548","St. Lucia","LCA",2012,90.87544,NA,NA,NA
"549","St. Martin (French part)","MAF",2010,87.87328,NA,NA,NA
"550","St. Martin (French part)","MAF",2012,90.87544,NA,NA,NA
"551","St. Vincent and the Grenadines","VCT",2010,75.07795,5.235865,NA,NA
"552","St. Vincent and the Grenadines","VCT",2011,NA,5.134517,NA,NA
"553","St. Vincent and the Grenadines","VCT",2012,75.90575,NA,NA,NA
"554","Sudan","SDN",2010,29,61.43932,30.9993,131.0553
"555","Sudan","SDN",2011,NA,63.99274,29.60298,141.6453
"556","Sudan","SDN",2012,32.56256,63.96786,28.24925,156.9423
"557","Suriname","SUR",2010,100,16.76414,NA,NA
"558","Suriname","SUR",2011,NA,19.40735,NA,NA
"559","Suriname","SUR",2012,100,NA,NA,NA
"560","Swaziland","SWZ",2010,35.2,39.40409,NA,NA
"561","Swaziland","SWZ",2011,NA,39.4686,NA,NA
"562","Swaziland","SWZ",2012,42,NA,NA,NA
"563","Sweden","SWE",2010,100,45.97781,34.42325,14934.33
"564","Sweden","SWE",2011,NA,46.54414,34.21419,14030.16
"565","Sweden","SWE",2012,100,49.91317,30.99916,14289.6
"566","Sweden","SWE",2013,NA,NA,31.13703,NA
"567","Switzerland","CHE",2010,100,21.20091,51.5656,8174.536
"568","Switzerland","CHE",2011,NA,21.31071,50.41468,7928.317
"569","Switzerland","CHE",2012,100,22.68295,50.93289,7886.094
"570","Switzerland","CHE",2013,NA,NA,52.1257,NA
"571","Syrian Arab Republic","SYR",2010,92.7,1.39729,99.08059,1880.109
"572","Syrian Arab Republic","SYR",2011,NA,1.87324,98.67909,1674.061
"573","Syrian Arab Republic","SYR",2012,96.26256,2.374994,98.10154,1221.721
"574","Tajikistan","TJK",2010,100,62.09949,34.60581,1879.659
"575","Tajikistan","TJK",2011,NA,60.25281,36.25453,1798.057
"576","Tajikistan","TJK",2012,100,57.97308,38.3841,1748.597
"577","Tanzania","TZA",2010,14.8,90.07914,10.84046,91.96354
"578","Tanzania","TZA",2011,NA,89.58421,12.17916,87.85519
"579","Tanzania","TZA",2012,15.3,88.17352,13.87717,98.83708
"580","Thailand","THA",2010,99.7,22.79754,79.9258,2325.151
"581","Thailand","THA",2011,NA,22.27236,80.43589,2304.681
"582","Thailand","THA",2012,100,23.02306,80.30322,2464.679
"583","Timor-Leste","TMP",2010,38,NA,NA,NA
"584","Timor-Leste","TMP",2012,41.56256,NA,NA,NA
"585","Togo","TGO",2010,27.9,65.84271,22.03571,124.7095
"586","Togo","TGO",2011,NA,69.12701,19.90909,135.3908
"587","Togo","TGO",2012,31.46256,72.71049,17.2181,144.9838
"588","Tonga","TON",2010,92.3,1.00787,NA,NA
"589","Tonga","TON",2011,NA,1.12682,NA,NA
"590","Tonga","TON",2012,95.86256,NA,NA,NA
"591","Trinidad and Tobago","TTO",2010,99,0.3361685,99.92964,6189.316
"592","Trinidad and Tobago","TTO",2011,NA,0.3604339,99.92919,6389.769
"593","Trinidad and Tobago","TTO",2012,99.8278,0.3241661,99.92797,6628.756
"594","Tunisia","TUN",2010,99.5,14.26506,86.57641,1406.927
"595","Tunisia","TUN",2011,NA,13.35062,87.90382,1335.513
"596","Tunisia","TUN",2012,100,13.04791,88.14852,1411.088
"597","Turkey","TUR",2010,100,14.35194,88.98584,2492.2
"598","Turkey","TUR",2011,NA,12.79332,89.8978,2704.053
"599","Turkey","TUR",2012,100,12.83503,89.36286,2789.664
"600","Turkey","TUR",2013,NA,NA,87.93861,NA
"601","Turkmenistan","TKM",2010,100,NA,NA,2403.414
"602","Turkmenistan","TKM",2011,NA,NA,NA,2443.862
"603","Turkmenistan","TKM",2012,100,NA,NA,2476.154
"604","Turks and Caicos Islands","TCA",2010,87.87328,0.5179989,NA,NA
"605","Turks and Caicos Islands","TCA",2011,NA,0.5321654,NA,NA
"606","Turks and Caicos Islands","TCA",2012,90.87544,NA,NA,NA
"607","Tuvalu","TUV",2010,41,NA,NA,NA
"608","Tuvalu","TUV",2012,44.56256,NA,NA,NA
"609","Uganda","UGA",2010,14.6,91.09553,NA,NA
"610","Uganda","UGA",2011,NA,90.33368,NA,NA
"611","Uganda","UGA",2012,18.16256,NA,NA,NA
"612","Ukraine","UKR",2010,99.8,2.880565,80.44958,3549.848
"613","Ukraine","UKR",2011,NA,2.73301,79.55725,3662.443
"614","Ukraine","UKR",2012,100,2.833571,79.28278,3640.557
"615","United Arab Emirates","ARE",2010,94.1,0.1398008,99.90352,10890.87
"616","United Arab Emirates","ARE",2011,NA,0.1419174,99.89937,10536.8
"617","United Arab Emirates","ARE",2012,97.69783,0.133041,99.90525,10462.61
"618","United Kingdom","GBR",2010,100,3.231318,88.27335,5700.808
"619","United Kingdom","GBR",2011,NA,4.107319,85.61935,5472.604
"620","United Kingdom","GBR",2012,100,4.350696,85.15753,5452.031
"621","United Kingdom","GBR",2013,NA,NA,84.21871,NA
"622","United States","USA",2010,100,7.478928,84.1445,13394.01
"623","United States","USA",2011,NA,8.185443,83.68644,13240.36
"624","United States","USA",2012,100,7.918396,83.70898,12954.15
"625","United States","USA",2013,NA,NA,83.57217,NA
"626","Uruguay","URY",2010,99,52.54295,50.11047,2803.153
"627","Uruguay","URY",2011,NA,48.59397,56.15451,2808.357
"628","Uruguay","URY",2012,99.5,46.37426,58.71622,2931.918
"629","Uzbekistan","UZB",2010,100,2.636335,97.84427,1647.831
"630","Uzbekistan","UZB",2011,NA,2.240147,98.14338,1625.971
"631","Uzbekistan","UZB",2012,100,2.373916,98.01141,1605.333
"632","Vanuatu","VUT",2010,23.5,39.14079,NA,NA
"633","Vanuatu","VUT",2011,NA,34.1809,NA,NA
"634","Vanuatu","VUT",2012,27.07681,NA,NA,NA
"635","Venezuela, RB","VEN",2010,100,10.32401,90.2021,3293.242
"636","Venezuela, RB","VEN",2011,NA,12.35626,88.69583,3336.15
"637","Venezuela, RB","VEN",2012,100,11.19754,89.7246,3412.681
"638","Vietnam","VNM",2010,96,34.7959,70.32818,1034.607
"639","Vietnam","VNM",2011,NA,35.52947,69.51684,1099.01
"640","Vietnam","VNM",2012,99,35.57924,69.4619,1272.539
"641","Virgin Islands (U.S.)","VIR",2010,87.87328,NA,NA,NA
"642","Virgin Islands (U.S.)","VIR",2012,90.87544,NA,NA,NA
"643","Yemen, Rep.","YEM",2010,44.8,0.8364043,98.797,250.1275
"644","Yemen, Rep.","YEM",2011,NA,0.9886307,98.51511,186.0537
"645","Yemen, Rep.","YEM",2012,48.40671,1.000756,98.47997,170.0774
"646","Zambia","ZMB",2010,18.5,91.80098,7.542276,578.914
"647","Zambia","ZMB",2011,NA,90.45502,8.602804,570.2921
"648","Zambia","ZMB",2012,22.06256,88.15213,10.41109,571.2612
"649","Zimbabwe","ZWE",2010,36.9,77.79536,26.69081,551.1705
"650","Zimbabwe","ZWE",2011,NA,75.774,28.37219,589.032
"651","Zimbabwe","ZWE",2012,40.46256,75.60253,28.94682,561.8077
